,year,site,plot,Pool,Seed.density,alpha.hill1,beta.tot
213,2018,Depression,6,High diversity,485,3.285512005,0.390701312
214,2018,Depression,7,Low diversity,270,1.987666975,0.316382148
215,2018,Depression,8,Low diversity,970,1.302195976,0.595747466
216,2018,Depression,9,High diversity,700,1.818968512,0.349057943
217,2018,Dryhill,1,Low diversity,700,2.518946367,0.245433098
218,2018,Dryhill,10,Low diversity,970,2,0.523083563
219,2018,Dryhill,11,Low diversity,485,1.754765351,0.528120746
220,2018,Dryhill,13,High diversity,485,3.005854967,0.478982152
221,2018,Dryhill,14,Low diversity,970,1.569192583,0.532580411
222,2018,Dryhill,15,High diversity,700,1.889881575,0.68679906
223,2018,Dryhill,16,Low diversity,485,1.991741215,0.667440333
224,2018,Dryhill,17,High diversity,485,1.436501376,0.45962652
225,2018,Dryhill,18,Low diversity,270,3.901025495,0.288369682
226,2018,Dryhill,19,High diversity,270,4.458066507,0.629713909
227,2018,Dryhill,20,Low diversity,485,3.708412176,0.413484125
228,2018,Dryhill,22,Low diversity,700,1,0.577986864
229,2018,Dryhill,23,Low diversity,485,1,0.539946601
230,2018,Dryhill,24,Low diversity,970,3.6184919,0.433297781
231,2018,Dryhill,25,Low diversity,270,2.766809291,0.373561554
232,2018,Dryhill,26,Low diversity,970,3.966644173,0.565104326
233,2018,Dryhill,27,Low diversity,270,2.800094073,0.504031011
234,2018,Dryhill,28,High diversity,970,3.795195889,0.310515394
235,2018,Dryhill,29,High diversity,485,3.948770688,0.127768934
236,2018,Dryhill,30,High diversity,270,1,0.433654649
237,2018,Dryhill,31,High diversity,700,1,0.634958294
238,2018,Dryhill,32,High diversity,700,1.569192583,0.558485324
239,2018,Dryhill,35,High diversity,270,1.649384888,0.389422115
240,2018,Dryhill,36,High diversity,270,1.960131704,0.676310207
241,2018,Dryhill,37,Low diversity,700,2.365173523,0.142990164
242,2018,Dryhill,38,Low diversity,700,1,0.792621238
243,2018,Dryhill,39,Low diversity,700,1.210997115,0.318347642
244,2018,Dryhill,40,High diversity,970,1.818968512,0.409580461
245,2018,Dryhill,41,Low diversity,970,2,0.485997201
